test_id,run_id,scenario,expected_elements,target_fp_rate,actual_size,hash_count,items_added,fill_ratio,estimated_fp_rate,measured_fp_rate,time_ms
60,0,xlarge_low_fp,5000,0.010000,47926,7,4996,0.518883,0.010000,0.010600,1.909000
61,1,xlarge_low_fp,5000,0.010000,47926,7,4996,0.518883,0.010000,0.010600,1.912000
62,2,xlarge_low_fp,5000,0.010000,47926,7,4996,0.518883,0.010000,0.010600,1.807000
63,3,xlarge_low_fp,5000,0.010000,47926,7,4996,0.518883,0.010000,0.010600,1.789000
64,4,xlarge_low_fp,5000,0.010000,47926,7,4996,0.518883,0.010000,0.010600,1.790000
65,5,xlarge_low_fp,5000,0.010000,47926,7,4996,0.518883,0.010000,0.010600,1.786000
66,6,xlarge_low_fp,5000,0.010000,47926,7,4996,0.518883,0.010000,0.010600,1.788000
67,7,xlarge_low_fp,5000,0.010000,47926,7,4996,0.518883,0.010000,0.010600,1.787000
68,8,xlarge_low_fp,5000,0.010000,47926,7,4996,0.518883,0.010000,0.010600,1.805000
69,9,xlarge_low_fp,5000,0.010000,47926,7,4996,0.518883,0.010000,0.010600,1.799000
70,0,xlarge_high_fp,5000,0.050000,31177,4,4939,0.472849,0.048532,0.049320,1.617000
71,1,xlarge_high_fp,5000,0.050000,31177,4,4939,0.472849,0.048532,0.049320,1.613000
72,2,xlarge_high_fp,5000,0.050000,31177,4,4939,0.472849,0.048532,0.049320,1.614000
73,3,xlarge_high_fp,5000,0.050000,31177,4,4939,0.472849,0.048532,0.049320,1.605000
74,4,xlarge_high_fp,5000,0.050000,31177,4,4939,0.472849,0.048532,0.049320,1.600000
75,5,xlarge_high_fp,5000,0.050000,31177,4,4939,0.472849,0.048532,0.049320,1.641000
76,6,xlarge_high_fp,5000,0.050000,31177,4,4939,0.472849,0.048532,0.049320,1.621000
77,7,xlarge_high_fp,5000,0.050000,31177,4,4939,0.472849,0.048532,0.049320,1.624000
78,8,xlarge_high_fp,5000,0.050000,31177,4,4939,0.472849,0.048532,0.049320,1.704000
79,9,xlarge_high_fp,5000,0.050000,31177,4,4939,0.472849,0.048532,0.049320,1.605000
80,0,huge_low_fp,10000,0.010000,95851,7,9988,0.519963,0.009982,0.010140,3.645000
81,1,huge_low_fp,10000,0.010000,95851,7,9988,0.519963,0.009982,0.010140,3.815000
82,2,huge_low_fp,10000,0.010000,95851,7,9988,0.519963,0.009982,0.010140,3.625000
83,3,huge_low_fp,10000,0.010000,95851,7,9988,0.519963,0.009982,0.010140,3.611000
84,4,huge_low_fp,10000,0.010000,95851,7,9988,0.519963,0.009982,0.010140,3.623000
85,5,huge_low_fp,10000,0.010000,95851,7,9988,0.519963,0.009982,0.010140,3.652000
86,6,huge_low_fp,10000,0.010000,95851,7,9988,0.519963,0.009982,0.010140,3.612000
87,7,huge_low_fp,10000,0.010000,95851,7,9988,0.519963,0.009982,0.010140,3.615000
88,8,huge_low_fp,10000,0.010000,95851,7,9988,0.519963,0.009982,0.010140,3.625000
89,9,huge_low_fp,10000,0.010000,95851,7,9988,0.519963,0.009982,0.010140,3.625000
90,0,huge_high_fp,10000,0.050000,62353,4,9878,0.473514,0.048534,0.051250,3.246000
91,1,huge_high_fp,10000,0.050000,62353,4,9878,0.473514,0.048534,0.051250,3.255000
92,2,huge_high_fp,10000,0.050000,62353,4,9878,0.473514,0.048534,0.051250,3.260000
93,3,huge_high_fp,10000,0.050000,62353,4,9878,0.473514,0.048534,0.051250,3.235000
94,4,huge_high_fp,10000,0.050000,62353,4,9878,0.473514,0.048534,0.051250,3.227000
95,5,huge_high_fp,10000,0.050000,62353,4,9878,0.473514,0.048534,0.051250,3.226000
96,6,huge_high_fp,10000,0.050000,62353,4,9878,0.473514,0.048534,0.051250,3.243000
97,7,huge_high_fp,10000,0.050000,62353,4,9878,0.473514,0.048534,0.051250,3.250000
98,8,huge_high_fp,10000,0.050000,62353,4,9878,0.473514,0.048534,0.051250,3.238000
99,9,huge_high_fp,10000,0.050000,62353,4,9878,0.473514,0.048534,0.051250,3.224000
